rank,source_feature,transformed_feature_count,mean_abs_shap,mean_signed_shap
1,discharge_disposition_id,21,0.25696637149744705,-0.04540009457291474
2,number_inpatient,1,0.12349717192410026,-0.019167113856472098
3,time_in_hospital,1,0.06687380475185699,-0.001694642156826064
4,diag_1,10,0.04938416182059985,-0.003355940878523425
5,payer_code,18,0.04756375858432756,-0.00433585574853177
6,age,10,0.040668823402800376,-0.0007966488508833124
7,diabetesMed,2,0.039044339838822884,-0.0017343388169273923
8,number_diagnoses,1,0.030721105178457372,-0.0013191843573139295
9,num_lab_procedures,1,0.024690223198900837,-0.0025050581770462333
10,number_emergency,1,0.023142556578039413,-0.001954275436058352
11,num_medications,1,0.022333413406077605,-0.0025639821385110184
12,diag_2,10,0.01900107856325726,-0.00041230102923640844
13,medical_specialty,30,0.01848161939386132,-0.003025839110347917
14,insulin,4,0.012581958659700302,-0.0008438204012424721
15,admission_source_id,17,0.010933441357846449,0.001429493858334444
16,diag_3,10,0.009944618362207613,-0.00012319386050574366
17,admission_type_id,8,0.00913571822078983,-0.0007557976201962235
18,metformin,4,0.007979813351925233,-0.0005538038671417667
19,number_outpatient,1,0.007018713314602248,1.209804970280524e-05
20,A1Cresult,4,0.0060620908228439345,-0.0002970732257957547
21,gender,3,0.003848748175792559,-1.7495210826203542e-05
22,race,6,0.0033577310005798674,-0.00033062863339806926
23,glipizide,4,0.0028296937356405297,-0.0002841117024016587
24,repaglinide,4,0.0027466891491138906,-0.0004114804593283646
25,num_procedures,1,0.0023246262994391378,-0.0005886731104694766
26,change,2,0.001095161291206264,-0.0002773629590429472
27,rosiglitazone,4,0.0009614281070702225,-7.230448617651233e-05
28,max_glu_serum,4,0.0007248735117686205,5.9492430960348454e-06
29,pioglitazone,4,0.00067048499321695,-0.0001168194588985801
30,glimepiride,4,0.0005858470859564504,-3.7408333020637107e-05
31,glyburide,4,0.0005263467746586353,-2.9825820520392407e-05
32,nateglinide,4,2.3953932509903306e-05,-6.510510044183262e-06
33,chlorpropamide,4,0.0,0.0
34,acetohexamide,2,0.0,0.0
35,tolbutamide,2,0.0,0.0
36,acarbose,3,0.0,0.0
37,miglitol,3,0.0,0.0
38,troglitazone,2,0.0,0.0
39,tolazamide,2,0.0,0.0
40,glyburide-metformin,4,0.0,0.0
41,glipizide-metformin,2,0.0,0.0
42,metformin-rosiglitazone,2,0.0,0.0
